la_code,pccar_11,pccycle_11,pcwalk_11,pcactive_11
E06000001,35.73289025,1.082270523,6.757080414,7.839350937
E06000002,32.32986246,1.389344711,7.024296128,8.413640839
E06000003,38.23366305,0.901418676,5.778557528,6.679976204
E06000004,42.95789668,1.219304108,5.345031069,6.564335177
E06000005,39.83949892,1.526717557,8.644875057,10.17159261
E06000047,40.1801999,0.584425059,6.200429395,6.784854454
E06000048,41.18486948,0.916286489,7.256543066,8.172829554
E08000020,35.58776059,0.906273003,5.689530588,6.595803591
E08000021,26.70766311,1.554043897,7.513247895,9.067291792
E08000022,37.3435482,1.622162568,5.391881749,7.014044317
E08000023,33.56364871,1.305732192,5.569778218,6.87551041
E08000024,35.98067642,0.783256791,5.788802833,6.572059625
E06000006,42.39763559,1.312723821,5.8646503,7.177374121
E06000007,47.64921953,1.751627515,5.102334388,6.853961903
E06000008,36.94992195,0.574619075,7.540917667,8.115536742
E06000009,33.4486047,1.876450926,8.853419129,10.72987005
E06000049,45.78986023,1.757131311,6.620705436,8.377836747
E06000050,45.01819827,1.761839156,6.574818531,8.336657687
E07000026,41.32407225,0.994674406,9.139451661,10.13412607
E07000027,34.19564409,3.222902765,10.88585797,14.10876074
E07000028,40.80924419,1.779180445,11.10761841,12.88679886
E07000029,41.15024098,1.085347805,6.453265531,7.538613335
E07000030,43.02052407,0.890667355,11.70259455,12.59326191
E07000031,40.47816856,1.83038599,12.32741227,14.15779826
E07000117,38.74337289,0.634309518,7.285092148,7.919401666
E07000118,48.11947318,0.974346787,6.143763055,7.118109842
E07000119,43.08631564,1.793047815,6.816515107,8.609562922
E07000120,41.65124409,0.697443279,6.857906642,7.555349921
E07000121,35.76614777,2.469601921,9.214296778,11.6838987
E07000122,40.04655493,0.785226567,8.227808814,9.013035382
E07000123,36.26939521,1.413268002,8.372003651,9.785271653
E07000124,49.21884462,0.942230834,7.394937629,8.337168463
E07000125,47.19720419,0.481278083,5.330004993,5.811283075
E07000126,49.76509483,2.007258445,5.182828308,7.190086753
E07000127,43.174716,1.073516256,6.257276259,7.330792515
E07000128,43.02306117,1.78205838,5.733747087,7.515805467
E08000001,40.2833756,0.641182127,5.990344903,6.63152703
E08000002,43.32043924,0.887242273,5.561041526,6.448283799
E08000003,25.1245652,2.274032988,8.020745198,10.29477819
E08000004,38.00331737,0.635308109,6.35120333,6.986511439
E08000005,38.60627725,0.604286968,5.658561496,6.262848463
E08000006,35.00580532,1.459706441,8.384502966,9.844209408
E08000007,43.6685987,1.364765477,5.444936925,6.809702401
E08000008,39.7178231,0.883196353,6.210245325,7.093441679
E08000009,43.40196307,2.139970271,5.461100942,7.601071214
E08000010,44.03560329,1.015666293,5.908370156,6.924036449
E08000011,34.23861335,0.912816165,5.451462484,6.364278649
E08000012,26.80987234,1.138210471,7.063517861,8.201728331
E08000013,41.87168169,0.859674034,5.070842079,5.930516113
E08000014,36.7805769,1.63322351,6.167600922,7.800824432
E08000015,38.15794603,0.998912719,5.180830926,6.179743644
E06000010,30.95115681,4.764702796,6.965007083,11.72970988
E06000011,43.58371947,2.432877025,6.935837195,9.368714219
E06000012,38.92145774,3.350802518,7.163516745,10.51431926
E06000013,44.8969582,2.450768011,6.377882595,8.828650606
E06000014,31.96830208,7.541942332,12.1811348,19.72307713
E07000163,42.22338726,0.856301178,11.20681047,12.06311164
E07000164,44.88391694,1.915562026,10.06206421,11.97762624
E07000165,44.15194935,1.552114208,10.35882776,11.91094197
E07000166,41.99265239,1.215978475,13.01873124,14.23470972
E07000167,41.6114526,2.096804236,9.518107554,11.61491179
E07000168,32.91222148,1.395589032,13.34626478,14.74185382
E07000169,49.35388397,1.70788116,5.691319888,7.399201048
E08000016,41.51462692,0.422522813,6.073178604,6.495701417
E08000017,39.18425187,1.494496937,6.078948917,7.573445854
E08000018,42.10120292,0.532030922,4.914901654,5.446932576
E08000019,32.92036087,1.064223219,7.471946745,8.536169964
E08000032,35.80172411,0.468301581,6.732620277,7.200921858
E08000033,41.1115443,0.606993533,7.020421333,7.627414866
E08000034,40.91160635,0.595389233,6.212035391,6.807424624
E08000035,35.87792793,1.132568659,7.500057948,8.632626607
E08000036,41.54864998,0.791296157,6.358585377,7.149881534
E06000015,38.42803041,2.354273221,8.007652364,10.36192558
E06000016,29.37803428,2.10500677,9.6283728,11.73337957
E06000017,41.52003549,2.343634482,10.96776578,13.31140027
E06000018,24.48119549,1.87786549,8.593453756,10.47131925
E07000032,46.5712582,0.892245853,6.342896265,7.235142119
E07000033,44.48654929,0.502279024,5.367771919,5.870050943
E07000034,41.31973982,0.688400581,6.925885694,7.614286275
E07000035,44.43803147,0.706067952,8.330447497,9.036515449
E07000036,44.67673014,2.293938917,6.323766176,8.617705093
E07000037,42.86307854,0.931902833,9.283414207,10.21531704
E07000038,46.3476722,0.451946638,4.143751702,4.595698339
E07000039,51.98560115,1.107271418,4.6825054,5.789776818
E07000129,51.51842236,1.939963243,4.689460019,6.629423262
E07000130,42.86811718,2.42143926,6.855409828,9.276849088
E07000131,50.28507745,1.473034742,6.8757773,8.348812043
E07000132,50.69869782,1.594266303,5.798033867,7.39230017
E07000133,47.77432012,1.577594372,8.705181978,10.28277635
E07000134,50.33111617,1.126086703,5.729622498,6.855709201
E07000135,43.87087286,1.978086624,5.49550212,7.473588744
E07000136,40.99691371,4.274299243,6.677799856,10.9520991
E07000137,36.35517573,2.095508766,8.485109279,10.58061804
E07000138,34.16041466,3.769367255,12.20224374,15.97161099
E07000139,46.87086598,2.624147756,6.005138903,8.629286659
E07000140,45.7994368,2.745619524,5.57571965,8.321339174
E07000141,45.94066935,1.985223851,8.254297722,10.23952157
E07000142,45.58148052,1.358135844,6.422914346,7.78105019
E07000150,44.08976892,1.933450243,6.159959156,8.093409399
E07000151,49.53205877,0.948082051,6.17996131,7.128043361
E07000152,50.43964067,0.899914294,6.358124623,7.258038917
E07000153,48.2876914,1.25147232,7.709069494,8.960541814
E07000154,44.69367043,1.78247967,7.452370859,9.234850529
E07000155,53.96575793,0.778228847,5.190866642,5.969095489
E07000156,46.49834905,0.990568619,6.485214441,7.47578306
E07000170,42.78314799,1.27332826,6.101979849,7.375308109
E07000171,44.24104195,1.618150171,6.699477822,8.317627994
E07000172,41.68045799,2.784009415,6.11109068,8.895100094
E07000173,42.82935498,1.270352048,5.278324768,6.548676817
E07000174,43.47482341,0.883934936,5.864817575,6.748752511
E07000175,43.74472637,2.557490047,7.173331749,9.730821796
E07000176,45.55259736,2.089034735,5.328462634,7.417497369
E06000019,42.40793753,2.476731464,9.853719219,12.33045068
E06000020,44.85479927,1.364911391,5.1325248,6.497436191
E06000021,38.79425408,0.875782241,6.175331495,7.051113737
E06000051,43.9823665,1.992031873,8.920818966,10.91285084
E07000192,48.51260481,0.892437114,5.328333841,6.220770955
E07000193,43.92660639,2.127403412,8.14722065,10.27462406
E07000194,47.22768436,0.857444788,5.140655725,5.998100512
E07000195,44.11978123,0.736448801,5.442140034,6.178588834
E07000196,49.86496197,0.706162194,3.773631656,4.47979385
E07000197,45.00549863,1.848977872,7.607634357,9.456612229
E07000198,48.22085038,0.646459041,6.10113061,6.747589651
E07000199,48.02315556,1.476254993,5.662203297,7.13845829
E07000218,50.02815681,0.78839073,4.886289799,5.674680528
E07000219,46.07557824,1.394288196,6.078835921,7.473124118
E07000220,47.09245592,2.13719265,7.199109389,9.336302038
E07000221,46.99411818,1.49667153,7.179007842,8.675679373
E07000222,43.805099,2.165566712,8.123791103,10.28935781
E07000234,49.92257437,0.710841064,4.753196573,5.464037636
E07000235,43.97892062,1.14366871,5.744505905,6.888174615
E07000236,47.72163844,1.073205061,5.466788222,6.539993282
E07000237,42.12885994,2.905344635,10.81600392,13.72134856
E07000238,48.39788959,1.277476866,6.247002258,7.524479124
E07000239,45.1203495,1.097731263,6.220016314,7.317747577
E08000025,30.9772286,0.871947723,5.617742538,6.489690261
E08000026,35.2532227,1.577601339,6.870199378,8.447800717
E08000027,43.60020465,0.770974657,4.965023861,5.735998518
E08000028,35.18778359,0.924795452,5.279078667,6.203874118
E08000029,44.52817471,0.917363171,4.038150445,4.955513616
E08000030,38.74170461,0.926167085,5.223624032,6.149791118
E08000031,35.26221921,1.230671786,5.818882894,7.04955468
E06000031,40.13059448,3.850572107,6.147311779,9.997883886
E06000032,35.42160212,0.809184067,8.153820726,8.963004793
E06000033,32.88535842,1.858295935,9.057092803,10.91538874
E06000034,41.42949774,0.961235148,4.020188567,4.981423715
E06000055,42.24271298,2.559684962,7.047923772,9.607608734
E06000056,49.30782501,1.138445714,5.765624833,6.904070546
E07000008,19.13860993,18.06517913,9.553025447,27.61820457
E07000009,50.26517772,2.067068551,4.982376388,7.049444939
E07000010,44.00069306,2.981605013,6.315515897,9.29712091
E07000011,48.36053803,2.574473856,6.601726421,9.176200278
E07000012,46.94606556,5.762718155,4.868295308,10.63101346
E07000066,37.98402162,1.145514528,5.786398506,6.931913033
E07000067,45.4375082,1.031690999,6.799227872,7.83091887
E07000068,36.31866161,0.636341321,5.339979985,5.976321305
E07000069,40.83495807,1.007334509,3.944232971,4.951567481
E07000070,40.6320487,2.055088,7.217061596,9.272149596
E07000071,38.51993591,2.639971376,8.364835644,11.00480702
E07000072,37.75683609,0.551742403,4.053099689,4.604842091
E07000073,42.87784009,1.752203037,7.327549472,9.07975251
E07000074,44.9411972,1.228912479,5.402369731,6.631282209
E07000075,42.11832851,0.845676458,3.882498966,4.728175424
E07000076,36.7181865,1.778464709,6.301906234,8.080370943
E07000077,46.32659496,0.802298287,6.541008303,7.34330659
E07000095,43.11454311,0.899421589,4.79297031,5.692391899
E07000096,44.69878364,0.777703285,6.992625227,7.770328513
E07000097,44.40869991,0.918146124,6.669797089,7.587943213
E07000098,39.21354757,0.720168925,5.287298458,6.007467383
E07000099,43.87826467,1.355043165,6.95443121,8.309474374
E07000100,39.47908635,1.220672321,6.098354746,7.319027067
E07000101,44.71863317,1.726569161,6.512756608,8.239325769
E07000102,43.3247918,0.877642537,4.360986547,5.238629084
E07000103,38.60601946,1.639888361,9.964547032,11.60443539
E07000104,38.04131806,1.715042815,7.261329342,8.976372157
E07000143,44.76299694,1.70956507,7.406345566,9.115910635
E07000144,47.73711312,2.703061846,4.330878689,7.033940535
E07000145,35.76472933,2.460346841,7.811031694,10.27137853
E07000146,42.84695706,3.04716158,6.043662223,9.090823803
E07000147,39.12467393,1.739058424,7.255738203,8.994796627
E07000148,28.59128915,5.560962046,14.78322178,20.34418383
E07000149,47.32193828,2.136852592,4.634138151,6.770990743
E07000200,45.55529132,1.349187475,6.888624653,8.237812128
E07000201,50.91367217,2.624111865,7.488706785,10.11281865
E07000202,37.78237467,3.158479731,11.24764581,14.40612554
E07000203,48.48372412,1.987926876,5.806801478,7.794728355
E07000204,46.11574943,2.148997135,9.689012943,11.83801008
E07000205,44.07818697,3.073087819,6.33427762,9.407365439
E07000206,38.75569452,3.722657156,6.874946566,10.59760372
E09000001,2.299032821,3.995560488,36.41985096,40.41541145
E09000002,22.54719052,0.849742882,3.728207701,4.577950583
E09000003,24.07803655,0.95688411,4.119670488,5.076554598
E09000004,31.38252348,0.78052485,3.688657979,4.46918283
E09000005,17.42210965,1.651078613,4.579721554,6.230800168
E09000006,27.38755903,1.012856174,4.302167261,5.315023434
E09000007,6.272687004,4.068272422,10.14824573,14.21651815
E09000008,24.16593169,0.825704814,5.061053496,5.88675831
E09000009,21.75586713,1.955974743,4.749489643,6.705464386
E09000010,26.05881513,0.873567118,4.009391851,4.882958969
E09000011,17.49338589,1.466351046,4.126455372,5.592806418
E09000012,7.139998826,9.236859937,7.49854607,16.73540601
E09000013,8.24585028,5.097834451,8.782428273,13.88026272
E09000014,11.92518466,3.181361428,4.096611451,7.277972879
E09000015,27.51171667,0.515590755,4.279803835,4.79539459
E09000016,31.77037072,0.596045066,4.137253985,4.733299051
E09000017,34.47525584,0.968358293,4.597701149,5.566059442
E09000018,26.65954974,2.187665981,5.008492982,7.196158963
E09000019,5.957650364,6.178662904,10.26467009,16.44333299
E09000020,8.244765228,3.136897208,8.240799492,11.3776967
E09000021,26.08107092,2.800130355,6.933894864,9.734025219
E09000022,8.631640937,5.659782106,5.357758802,11.01754091
E09000023,14.41952922,2.60599743,4.33250103,6.938498461
E09000024,19.23822511,2.355646466,4.967312397,7.322958863
E09000025,11.77639567,0.977908612,4.08328165,5.061190262
E09000026,23.51411218,0.707112216,3.675379866,4.382492082
E09000027,23.42229222,4.399799679,5.906560506,10.30636019
E09000028,8.134454979,4.853240467,8.173198961,13.02643943
E09000029,33.09927186,1.489438397,5.589359095,7.078797491
E09000030,6.877060523,4.127152102,10.98844072,15.11559282
E09000031,18.02720732,1.79601839,4.268554493,6.064572883
E09000032,10.55832269,5.447721664,5.592260597,11.03998226
E09000033,5.98216575,3.056892966,12.42528703,15.48217999
E06000035,41.41111878,0.746299406,6.417968871,7.164268276
E06000036,52.19572645,1.683189759,6.164878002,7.848067761
E06000037,47.68861442,1.897299516,6.853838328,8.751137844
E06000038,32.24179851,2.844839395,11.69697281,14.5418122
E06000039,40.92157917,1.600668936,6.537060264,8.1377292
E06000040,44.54612603,1.674868342,6.902836532,8.577704874
E06000041,48.97526565,1.789388366,4.658288279,6.447676645
E06000042,45.97513576,2.017256113,5.421065689,7.438321802
E06000043,24.68879274,3.278113021,13.63998634,16.91809936
E06000044,32.72437461,4.650466803,10.62034417,15.27081097
E06000045,33.94209799,2.909528804,10.28629142,13.19582022
E06000046,34.33787482,1.818601061,10.45745737,12.27605843
E07000004,47.69370365,1.206406817,7.026195361,8.232602178
E07000005,41.87537475,0.624202451,4.961333272,5.585535723
E07000006,45.30145182,0.922555542,4.351282373,5.273837915
E07000007,45.9343898,0.921184011,6.448288079,7.369472091
E07000061,36.40826983,1.892923531,9.37238375,11.26530728
E07000062,34.24344297,0.90253801,9.770428251,10.67296626
E07000063,37.64021424,1.182347082,7.257214627,8.439561709
E07000064,37.69268704,0.789042491,6.449149711,7.238192202
E07000065,44.36479377,0.678132585,5.440172272,6.118304857
E07000084,48.1414766,1.566011863,7.157404477,8.72341634
E07000085,47.36716075,1.196092048,6.547975384,7.744067431
E07000086,51.12249132,1.827870105,5.364591295,7.192461401
E07000087,49.30663317,2.580112811,4.943471514,7.523584325
E07000088,40.03596699,7.309366544,6.850535303,14.15990185
E07000089,50.17023015,1.51769637,5.35354911,6.871245479
E07000090,44.10588194,1.92934247,5.127134857,7.056477327
E07000091,46.17942595,2.513662078,5.419157358,7.932819436
E07000092,47.60523747,2.0846494,7.434100959,9.518750359
E07000093,47.30662004,2.03066673,7.249681047,9.280347777
E07000094,41.40718386,1.36694479,9.170956861,10.53790165
E07000105,43.71765655,1.738831126,7.026539429,8.765370555
E07000106,34.19149526,1.611735364,9.26367919,10.87541455
E07000107,40.83673817,0.758994439,5.120020429,5.879014868
E07000108,40.14928329,1.344292328,7.708018716,9.052311044
E07000109,39.45157191,0.632591439,5.279337623,5.911929062
E07000110,44.2732114,0.8257456,7.968665825,8.794411424
E07000111,38.2311384,0.573704597,5.132889961,5.706594558
E07000112,39.0335908,1.145782545,8.033308527,9.179091072
E07000113,41.41998033,1.404565599,7.186102407,8.590668005
E07000114,35.05378393,1.476940668,7.294710541,8.771651209
E07000115,43.82831029,0.989182623,5.95939145,6.948574073
E07000116,36.87173987,0.80680544,10.29712865,11.10393409
E07000177,45.77462743,2.509949743,8.680242861,11.1901926
E07000178,20.04019014,10.35993819,10.70104781,21.06098601
E07000179,45.36700656,2.657598151,7.928415143,10.58601329
E07000180,45.45880631,4.593207357,6.750345805,11.34355316
E07000181,48.40408072,3.039533632,7.585047858,10.62458149
E07000207,36.69249242,2.240646767,4.35959012,6.600236887
E07000208,36.58113347,1.785120916,5.767029721,7.552150637
E07000209,39.34877614,1.765731867,8.227017069,9.992748937
E07000210,40.97864359,1.309684425,6.780413966,8.090098391
E07000211,42.02857633,1.232190213,6.481602856,7.713793069
E07000212,43.8312177,1.983509775,6.698108474,8.68161825
E07000213,47.27959265,1.912294754,4.51684879,6.429143544
E07000214,50.06313434,1.253096779,5.223367698,6.476464477
E07000215,40.49985704,0.618934692,4.899339018,5.51827371
E07000216,41.80244578,1.069880982,6.385414112,7.455295093
E07000217,41.36666574,1.907364546,6.367641728,8.275006274
E07000223,41.31554948,2.542179663,5.636114911,8.178294574
E07000224,41.12434124,2.354083586,6.456053021,8.810136607
E07000225,39.69791577,2.774041487,8.718239816,11.4922813
E07000226,43.08450122,1.817758701,6.263898226,8.081656927
E07000227,45.82476304,1.188532412,7.005025552,8.193557963
E07000228,42.8759526,0.993496389,8.026772533,9.020268922
E07000229,39.62845382,3.512335548,9.772929054,13.2852646
E06000022,36.04059747,1.943316737,11.16736882,13.11068556
E06000023,32.57450872,5.04220761,12.58701237,17.62921998
E06000024,45.97528758,1.852055699,6.363173537,8.215229237
E06000025,49.49290272,2.782800258,5.793170813,8.575971071
E06000026,35.49633446,1.613256442,9.02359922,10.63685566
E06000027,37.47765957,0.846808511,9.717021277,10.56382979
E06000028,38.0500676,3.089246515,8.569206391,11.65845291
E06000029,43.42754556,3.244635354,6.956415486,10.20105084
E06000030,45.13174974,3.028946002,7.180036345,10.20898235
E06000052,40.55670708,1.015794969,8.772868245,9.788663214
E06000053,17.87916153,12.88532676,31.13440197,44.01972873
E06000054,45.58606575,2.033598846,9.161795668,11.19539451
E07000040,40.33972107,1.425923132,8.472548555,9.898471686
E07000041,30.32252301,4.044938801,14.59059233,18.63553114
E07000042,44.24767669,1.282074239,8.577005032,9.85907927
E07000043,37.66868621,2.339016695,12.42685944,14.76587613
E07000044,41.08913341,0.879291288,9.032119702,9.91141099
E07000045,43.71025248,1.103150742,7.564462228,8.66761297
E07000046,39.23457321,0.804128144,9.051816814,9.855944958
E07000047,40.36105904,0.724172466,9.216507023,9.940679489
E07000048,41.78587839,3.063256241,5.25654771,8.319803952
E07000049,49.08676921,1.608596655,3.633266172,5.241862827
E07000050,44.5991046,1.450956451,10.27065527,11.72161172
E07000051,42.92905896,1.958059236,8.672287594,10.63034683
E07000052,39.48464304,1.606048977,11.05757615,12.66362512
E07000053,37.1101502,2.124459485,9.519333208,11.64379269
E07000078,38.24486003,4.520850273,12.63909862,17.15994889
E07000079,43.8701623,1.438202247,9.549729505,10.98793175
E07000080,46.1725858,0.778906548,5.886544804,6.665451351
E07000081,44.45481325,3.451687617,7.837691979,11.2893796
E07000082,48.92074919,1.503263986,6.301018852,7.804282838
E07000083,47.69372539,3.062746084,5.946217643,9.008963726
E07000187,44.6162257,1.540945673,9.403328544,10.94427422
E07000188,44.79813758,3.036078308,7.09503878,10.13111709
E07000189,44.89506866,1.952672942,9.872182399,11.82485534
E07000190,41.25264505,4.429746202,10.90964382,15.33939002
E07000191,33.81491291,1.729673329,12.62541135,14.35508468
